patch,Faustus,Ritual,Ultimatum,3.18,3.19,3.20,3.21,3.22,3.23,3.24,3.25,All samples
The Eternal War,950,,0,12,25,6,14,11,14,12,8,
Tranquillity,950,,0,858,1818,10,14,9,7,12,6,
Who Asked,1000,,0,0,0,0,0,0,16,8,13,
The Cheater,1025,,0,13,11,7,14,7,12,5,2,
The Last Supper,1025,,0,3242,1841,6,14,8,9,11,11,
Burning Blood,1050,Boss,0,64,51,89,26,6,17,0,0,
The Apothecary,1100,,0,11,7,6,5,6,10,6,11,
The Enforcer,1100,,0,0,20,3,20,21,5,12,9,
A Familiar Call,1150,Boss,0,11,3,4,5,8,5,0,0,
Auspicious Ambitions,1150,Boss,0,0,0,299,151,216,14,0,0,
Duality,1150,Boss,0,8,15,6,1,13,16,0,0,
Fateful Meeting,1150,Boss,0,22,11,10,5,13,6,0,0,
The Eye of Terror,1150,Boss,0,48,37,83,5,8,9,0,0,
The Vast,1200,,0,19,3,10,9,12,2,5,6,
Terrible Secret of Space,1250,Boss,0,159,218,205,214,209,0,5,1,
The Chosen,1250,Boss,,226,207,295,1,5,5,0,0,
Anarchy's Price,1250,,0,1406,651,11,5,5,8,6,8,
Lonely Warrior,1250,,,0,0,0,0,0,0,0,6,
The Greatest Intentions,1350,Boss,0,4,3,0,5,8,6,0,0,
Father's Love,1350,,0,0,0,0,0,0,0,0,0,
Love Through Ice,1350,,0,6,3,1,5,5,9,4,6,
The Fiend,1350,,0,13,3,4,0,5,2,3,6,
Choking Guilt,1450,Boss,0,0,7,1,5,8,3,0,0,
The Astromancer,1450,Boss,,1,1,7,5,2,8,0,0,
The One That Got Away,1450,,0,3,1,6,5,1,1,4,6,
Unrequited Love,1450,,0,3,7,4,1,2,4,12,8,
The Old Man,1600,,0,3,1,3,14,2,0,2,0,
The Price of Loyalty,1600,,0,32,11,25,1,0,1,4,3,
Matryoshka,1850,Boss,0,0,0,0,5,1,1,0,0,
Ambitious Obsession,1850,,,96,58,146,75,80,71,1,2,
Assassin's Gift,1850,,,0,0,0,0,0,1,0,2,
Divine Justice,1850,,,807,185,295,315,355,0,1,0,
House of Mirrors,1850,,0,1,0,5,1,5,1,0,1,
The Demon,1850,,0,2,3,2,5,0,2,0,6,
The Insane Cat,1850,,,0,0,0,0,2,5,0,1,
The Price of Devotion,1850,,0,0,0,0,0,0,3,2,1,
Birth of the Three,,,,0,0,0,0,0,0,0,0,
Blessing of God,,,,0,0,0,0,0,0,0,0,
Luck of the Vaal,,,,0,0,0,0,0,0,0,0,
Monochrome,,,,476,437,420,514,442,496,0,0,
Sambodhi's Wisdom,,,,2175,1021,922,870,927,909,1005,0,
Soul Quenched,,,,0,0,0,1186,1094,129,150,0,
Squandered Prosperity,,,,0,0,0,0,0,0,0,0,
The Bargain,,,,189,241,212,0,0,0,0,0,
The Devastator,,,,0,0,0,0,0,0,0,0,
The Master,,,,451,785,1293,891,1114,1329,1161,0,
The Mayor,,,,0,0,0,0,0,0,0,0,
The Sustenance,,,,40,1,0,0,0,0,0,0,
The Valley of Steel Boxes,,,,0,0,0,0,0,0,0,0,
Treasures of the Vaal,,,,0,0,0,0,0,0,0,0,
Underground Forest,,,,1149,1572,1133,979,1275,1189,0,0,
